"Field Name","IQ field","Type","Beg","Size","End","Description","Validated","Required","Default Value","Notes"
"Cust-code","$Object->id()","Text",1,8,8,"Customer Code","Yes","Yes",,"No duplicates"
"Cust-name","$Object->name","Text",9,40,48,"Customer Name",,,,
"Address-1","$Object->address1","Text",49,40,88,"Address Line 1",,,,
"Address-2","$Object->address2","Text",89,40,128,"Address Line 2",,,,
"Address-3",,"Text",129,40,168,"Address Line 3",,,,
"City","$Object->city","Text",169,40,208,"Customer City",,,,
"State","$Object->state()","Text",209,3,211,"Customer State","Yes*",,,"Validated if automated taxes function is activated."
"Zip","$Object->postalcode()","Text",212,10,221,"Customer Zip Code","Yes*","Yes*",,"Validated and required if automated taxes function is activated."
"Country","$Object->Country()->three_letter()","Text",222,40,261,"Customer Country","Yes*","Yes*",,"Validated and required if ILS is active for Outbound Shipping or FG"
"Phone","$Object->phone()","Text",262,20,281,"Customer Phone Number",,,,
"FAX","$Object->fax()","Text",282,20,301,"Customer Fax Number",,,,
"E-Mail-Address","$Object->email()","Text",302,80,381,"Customer Email Address",,,,
"AR-Tax-Code","$Object->tax_code()","Text",382,10,391,"AR Tax Code","Yes","Yes",,
"Terms-Code","$Object->Credit(6)->code()","Text",392,20,411,"Terms Code","Yes",,,
"Sales-agent-id","sets::isin( $Object->salesrep_id(), [undef, '', 9684, 9683, 4324 ] )  ? '999999' : $Object->CSR()->code()","Text",412,8,419,"Salesperson Code","Yes","Yes",,
"CSR-ID","$Object->salesrep_id() ? $Object->CSR()->code() : 'DL'","Text",420,3,422,"Customer Service Representative","Yes",,,
"territory-id",,"Text",423,12,434,"Sales Region ID","Yes",,,
"Cust-ID-Bill-to",,"Text",435,8,442,"Master Billing Customer Code (see Tip)","Yes",,,"Leave blank if not used. If used, must be a valid customer ID."
"Group-ID","$Object->category_id","Text",443,12,454,"Customer Group ID","Yes",,,"Validated if used, but not required."
"Priority",,"Text",455,10,464,"Priority",,,,
"Estimate-Markup-Pct","$Object->discount()*-1","Text",465,6,470,"Estimating Markup Percentage",,,,
"Overs-Allowed",,"Text",471,5,475,"Percent Overs Allowed",,,,
"Date-First-Order","ssi::format_date( $Object->date_first_order(), '%d/%m/%Y')","Text",476,10,485,"Date of First Order","Yes",,,"Based on date format in company setup (US = mm/dd/yyyy)"
"PO-Required",,"Text",486,1,486,"Flag for PO Required",,,0,"0=No, 1=Yes"
"AR-Stmt",,"Text",487,1,487,"Flag for AR Statement",,,0,"0=No, 1=Yes"
"AR-Stmt-Dunning-Msg",,"Text",488,1,488,"Flag for AR Statement Dunning Messages",,,0,"0=No, 1=Yes"
"Inter-company",,"Text",489,1,489,"Inter-company Flag",,,0,"0=No, 1=Yes***"
"System-ID-Inter-company",,"Text",490,12,501,"Inter-Company System ID","Yes",,,"Required if Inter-Company Flag = 1"
"Bank","$Object->bank_name()","Text",502,20,521,"Bank Name",,,,
"Bank-acct-num","$Object->bank_account()","Text",522,20,541,"Bank Account Number",,,,
"Sales-tax-exempt","$Object->gst_exempt()","Text",542,20,561,"Tax Exempt Number",,,,"Field no longer used"
"Credit-Limit",,"Text",562,14,575,"Credit Limit",,,,
"Shipment-Method-ID",,"Text",576,8,583,"Default Shipment Method","Yes",,,"Validated if used, but not required."
"Tax-Number","$Object->gst_number()","Text",584,20,603,"Tax ID",,,,"Avaliable only if tax code is set to use this field"
"Addl-Tax-Number","$Object->pst_number()","Text",604,20,623,"Additional Tax ID",,,,"Avaliable only if tax code is set to use this field"
"Industry-Code",,"Text",624,8,631,"Industry Code",,,,
"Locale-ID",,"Text",632,6,637,"Locale ID","Yes",,,"Company's Base Locale"
"Prograph-Customer-Type",'1',"Text",638,1,638,"Flag for Planner Customer Type",,,0,"0=No, 1=Yes; Available only when Planner module is enabled"
"Prograph-Shipper",'1',"Text",639,1,639,"Flag for Planner Shipper",,,0,"0=No, 1=Yes; Available only when Planner module is enabled"
"Prograph-Paper-Owner",'1',"Text",640,1,640,"Flag for Planner Paper Owner",,,0,"0=No, 1=Yes; Available only when Planner module is enabled"
"Prograph-Advertiser",'1',"Text",641,1,641,"Flag for Planner Advertiser",,,0,"0=No, 1=Yes; Available only when Planner module is enabled"
"Prograph-Advertising-Agency",'1',"Text",642,1,642,"Flag for Planner Advertising Agency",,,0,"0=No, 1=Yes; Available only when Planner module is enabled"
"Allow-PSF-Access",,"Text",643,1,643,"Flag for PrinterSite Fulfillment",,,0,"0=No, 1=Yes; Available only when DSF module is enabled"
"PSF-Auto-Accept-Orders",,"Text",644,1,644,"Flag for Auto Accept Orders for a Customer",,,"OF Options, Auto Accept Orders","0=No, 1=Yes; Available only when DSF module is enabled"
"PrinterSite-Exchange",,"Text",645,1,645,"Flag for PrinterSite Exchange",,,0,"0=No, 1=Yes; Available only when PS Exchange is enabled"
"Available-in-PrintStream",,"Text",646,1,646,"Flag for PrintStream",,,0,"0=No, 1=Yes; Available only when PrintStream module is enabled"
"PS-Fulfillment",,"Text",647,8,654,"Parent Customer ID for a PrintStream Sub-Customer",,,,"0=No, 1=Yes; Available only when PrintStream module is enabled"
"PS-Franchise-Number",,"Text",655,30,684,"PrintStream Franchise Number",,,,"Available only when PrintStream module is enabled"
"PS-Store-Number",,"Text",685,30,714,"PrintStream Store Number",,,,"Available only when PrintStream module is enabled"
"PS-Credit-Hold","$Object->Credit(6)->hold()","Text",715,1,715,"Flag for PrintStream Credit Hold",,,,"0=No, 1=Yes; Available only when PrintStream module is enabled"
"AR-Stmt-Finance-Chrg",,"Text",716,1,"No Line","Flag for Finance Charge",,,,"0=No, 1=Yes"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,"*** In single company databases, set this flag to No (0).  In multi-company databases, set this flag to Yes (1) only when the customer is one of the ""sister"" companies."
