"Field Name","IQ Field","Type","Beg","Size","End","Description","Validated","Required","Default Value","Notes"
"Item-ID","$$Object{id}","Text",1,15,15,"Inventory Item ID","Yes","Yes",,"No duplicates."
"Item-Desc","$Object->name()","Text",16,254,269,"Item Description",,,,
"Item-Type","'ChargeOnly'","Text",270,14,283,"Item Type","Yes","Yes",,"Inventory, Expense, Charge Only or Finished Goods"
"Dept-ID",,"Text",284,3,286,"Material or OSP Department ID","Yes","Yes",,
"Category-ID",,"Text",287,3,289,"Category ID","Yes","Yes*",,"Required if system option is activated, validated."
"Owned-by","'Company'","Text",290,8,297,"Owned By","Yes","Yes",,"Company, Customer or Supplier"
"Cust-ID","$$Object{owner_id}","Text",298,8,305,"Customer ID ","Yes","Yes*",,"Required if owned by Customer and/or Finished Goods type.  Do not enter an ID if the item type is Charge Only or Expense."
"Cust-Item-ID",,"Text",306,30,335,"Customer Item ID",,,,"Optional for Customer Owned items only"
"Supplier-ID","$Object->supplier_id() ? $Object->supplier_id() : 'Unknown'","Text",336,8,343,"Supplier ID","Yes","Yes*",,"Required if owned by Supplier, otherwise optional."
"Supplier-Item-ID",,"Text",344,24,367,"Supplier Item ID",,,,"Optional for Supplier Owned items only"
"Warehouse-ID",,"Text",368,3,370,"Default Warehouse ID",,,,
"Bin-Location",,"Text",371,10,380,"Default Bin Location",,,,
"Unit-Of-Measure-Purchase","$Object->Unit_Of_Measure_Purchase()","Text",381,4,384,"Purchasing Unit of Measure","Yes","Yes*",,"Required if Item type = Inventory, Expense or Finished Goods."
"Unit-Of-Measure-Costing","$Object->Unit_Of_Measure_Costing()","Text",385,4,388,"Costing Unit of Measure","Yes","Yes*",,"Required if Item type = Inventory, Charge Only or Finished Goods.  Must equal Purchasing U/M if Convert is set to No (0)."
"Convert-Flag",,"Text",389,1,389,"Flag - Conversion Required",,,"No (0)","0=No, 1=Yes (Set to Yes if purch & costing U/M are different.)"
"M-Weight",,"Text",390,9,398,"M Weight",,"Yes*",,"Used for items purchased by CWT & costed by M."
"Conversion-Factor",,"Text",399,12,410,"Conversion Factor",,"Yes*",,"M Weight or Factor are required if Conversion Flag is set to Yes.  Both Factor and M-Weight cannot have a factor if Convert Flag is set to Yes (1)."
"GL-Account",,"Text",411,38,448,"G/L Account","Yes",,,"Optional for Expense item types only."
"Record-Active",,"Text",449,1,449,"Flag - Record Active",,,"Yes (1)","0=No, 1=Yes"
"Require-Lot-Count",,"Text",450,1,450,"Flag - Require Lot Count",,,"No (0)","0=No, 1=Yes"
"Direct-Post-Job-Receipts",,"Text",451,1,451,"Flag - Direct Post Job Receipts",,,"No (0)","0=No, 1=Yes"
"Require-Work-Center",,"Text",452,1,452,"Flag - Require Work Center",,,"No (0)","0=No, 1=Yes"
"Roll-Stock",0,"Text",453,1,453,"Flag - Roll Stock",,,"No (0)","0=No, 1=Yes"
