,COMPANY NAME,CONTACT NAME,EMAIL ADDRESS,CELL NUMBER,STREET ADDRESS,CITY ,PROVINCE,POSTAL CODE ,SUPPLY
,PPP CORP,STEVE PROCTOR,steve@pppcorp.ca,416-572-5227,2121 McCowan Rd. ,Scarborough,ON,M1S 3Y6,Bindery
,SPECIALTIES GRAPHICS,HELEN,info@sgfteam.ca,416-701-0111,2480 Lawrence Ave. East Unit #6,Scarborough,ON,M1P 2R7,Bindery
,MILLENNIUM BINDERY,DAVID JODHA,david@millenniumbindery.com,416-321-2221,495 Finchdene Square,Scarborough,ON,M1X 1B7,Bindery
,ELITE BINDERY & MAILING SOLUTIONS,RUSSELL MYERS,russ@elitebindery.com,416-272-2563,1860 Midland Ave.,Scarborough,ON,M1P 5A1,Bindery
,RS SUPERIOR,STAN PRATO,stan@rssuperior.com,416-438-4300,1800 Ironstone Manor Suite #3,Pickering,ON,L1W 3J9,Bindery
,YORK BINDERY,HITESH,quotes@yorkbindery.com,416-609-8878,455 Milner Ave. Unit 4/5/6,Scarborough,ON,M1B 2K4,Bindery
,HOLMES - THE FINISHING HOUSE,KAREN / CATHY,estimating@holmesfinishing.com,905-513-6211,200 Ferrier St.,Markham,ON,L3R 2Z5,Bindery
,TOP PRESS CO. LTD.,LUCY,design@toppress.ca,905-415-8830,181 Amber St.,Markham,ON,L3R 3B4,Bindery
,CANADIAN CALENDAR METAL CO. LTD.,,info@nxt365.com,905-602-5550,5574 Ambler Drive,Mississauga,ON,L4W 2K9,Calendar / Mylar Tabs
,QUEST BINDERY,JEFFREY,quest@bellnet.ca,416-438-9449,110 Milner Ave.,Scarborough,ON,M1S 3R2,Calendar / Mylar Tabs
,MULTI BOOKBINDING,BRIGITTE POTHIER,bpothier@multi-reliure.com,888-735-4873,2112 Av. De la Transmission,Shawinigan,QC,G9N 8N8,Case Binding
,VAN HUIZEN BOOKBINDING,CLAIRE WILKINSON,Cwilkinson4@cogeco.net,905-682-4814,8 Hiscott St. ,St. Catharine's,ON,L2R 1C5,Case Binding
